theme,url,img,lines,author
STEWARDSHIP,/inspirational-quotes/8373-when-one-tugs-at-a-single-thing-in-nature-one,https://assets.passiton.com/quotes/quote_artwork/8373/medium/20220130_monday_quote.jpg,"When one tugs at a single thing in nature, one finds it attached to the rest of the world.",<Author:0x00007f5ba3f9b1d0>
RESILIENCE,/inspirational-quotes/8315-do-not-judge-me-by-my-success-judge-me-by-how,https://assets.passiton.com/quotes/quote_artwork/8315/medium/20230127_friday_quote.jpg,"Do not judge me by my success, judge me by how many times I fell down and got back up again.",<Author:0x00007f5ba3f89d18>
RESILIENCE,/inspirational-quotes/8372-i-can-be-changed-by-what-happens-to-me-but-i,https://assets.passiton.com/quotes/quote_artwork/8372/medium/20230126_thursday_quote.jpg,I can be changed by what happens to me. But I refuse to be reduced by it.,<Author:0x00007f5ba3fdb0c8>
RESILIENCE,/inspirational-quotes/8371-don-t-let-a-bad-day-trick-you-into-thinking-you,https://assets.passiton.com/quotes/quote_artwork/8371/medium/20230125_wednesday_quote.jpg,Don’t let a bad day trick you into thinking you have a bad life.,<Author:0x00007f5ba3fc9350>
RESILIENCE,/inspirational-quotes/8313-like-tiny-seeds-with-potent-power-to-push,https://assets.passiton.com/quotes/quote_artwork/8313/medium/20230124_tuesday_quote.jpg,"Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient.",<Author:0x00007f5ba3fb0080>
RESILIENCE,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20230123_monday_quote.jpg,Hardships often prepare ordinary people for an extraordinary destiny.,<Author:0x00007f5b98006400>
EXPLORING,/inspirational-quotes/6600-not-all-those-who-wander-are-lost,https://assets.passiton.com/quotes/quote_artwork/6600/medium/20230120_friday_quote.jpg,Not all those who wander are lost.,<Author:0x00007f5ba3feb518>
EXPLORING,/inspirational-quotes/8370-life-can-only-be-understood-backwards-but-it,https://assets.passiton.com/quotes/quote_artwork/8370/medium/20230119_thursday_quote.jpg,Life can only be understood backwards but it must be lived forwards.,<Author:0x00007f5b98037cf8>
EXPLORING,/inspirational-quotes/8369-you-have-to-create-your-life-you-have-to-carve,https://assets.passiton.com/quotes/quote_artwork/8369/medium/20230118_wednesday_quote.jpg,"You have to create your life. You have to carve it, like a sculpture.",<Author:0x00007f5b98025c88>
EXPLORING,/inspirational-quotes/7473-the-purpose-of-life-is-to-live-it-to-taste,https://assets.passiton.com/quotes/quote_artwork/7473/medium/20230117_tuesday_quote.jpg,"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",<Author:0x00007f5b98077ba0>
EXPLORING,/inspirational-quotes/8293-if-you-cant-fly-then-run-if-you-cant-run-then,https://assets.passiton.com/quotes/quote_artwork/8293/medium/20230116_monday_quote.jpg,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",<Author:0x00007f5b98065400>
KINDNESS,/inspirational-quotes/6382-ask-yourself-have-you-been-kind-today-make,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20230113_friday_quote.jpg,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world. ,<Author:0x00007f5b9804dd50>
KINDNESS,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20230112_thursday_quote.jpg,One kind word can warm three winter months.,<Author:0x00007f5b980a43d0>
KINDNESS,/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20230111_wednesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on.",<Author:0x00007f5b980865d8>
KINDNESS,/inspirational-quotes/8168-do-things-for-people-not-because-of-who-they,https://assets.passiton.com/quotes/quote_artwork/8168/medium/20230110_tuesday_quote.jpg,"Do things for people not because of who they are or what they do in return, but because of who you are.",<Author:0x00007f5b980dc730>
KINDNESS,/inspirational-quotes/8269-ah-kindness-what-a-simple-way-to-tell-another,https://assets.passiton.com/quotes/quote_artwork/8269/medium/20230109_monday_quote.jpg,"Ah, kindness. What a simple way to tell another struggling soul that there is love to be found in the world.",<Author:0x00007f5b980c4ea0>
HELPING OTHERS,/inspirational-quotes/7628-one-of-the-greatest-things-you-can-do-to-help,https://assets.passiton.com/quotes/quote_artwork/7628/medium/20220106_friday_quote.jpg,"One of the greatest things you can do to help others is not just to share and give what you have, but to help them discover what they have within themselves to help themselves.",<Author:0x00007f5b9811daf0>
HELPING OTHERS,/inspirational-quotes/6255-believe-that-theres-light-at-the-end-of-the,https://assets.passiton.com/quotes/quote_artwork/6255/medium/20220105_thursday_quote.jpg,Believe that there's light at the end of the tunnel. Believe that you might be that light for someone else.,<Author:0x00007f5b98106328>
HELPING OTHERS,/inspirational-quotes/3700-great-opportunities-to-help-others-seldom-come,https://assets.passiton.com/quotes/quote_artwork/3700/medium/20220104_wednesday_quote.jpg,"Great opportunities to help others seldom come, but small ones surround us every day.",<Author:0x00007f5b980ee728>
